Prompt,Total,Found == True,Found == False
ASCII_question,90,47,43
ASCII_statement,69,37,32
Binary_question,269,141,128
Binary_statement,251,128,123
Caesar_question,42,22,20
Caesar_statement,92,50,42
Code Injection,11,6,5
Euskera,32,16,16
In-context Attack,345,205,140
Scenario Nesting Assitant,160,80,80
Scenario Nesting Hospital,873,459,414
Scottish-gaelish,96,50,46
UTF_question,61,32,29
UTF_statement,74,38,36
backwards1_question,2,1,1
backwards1_statement,8,5,3
backwards2_question,20,11,9
backwards2_statement,38,19,19
continues,348,180,168
jb_few_shot,44,22,22
jb_question_answer,133,67,66
jb_special_tokens,446,231,215
morse code_question,247,129,118
morse code_statement,137,70,67
prompts_for_medical_LLM,120,66,54
prompts_for_specific_model,2,1,1
research_paper,189,97,92
